Wondrous Magic - system string table
ROM $141000 ($A8:9000). Title menu, name entry, save/load, yes/no, kana charts.

Format: 16-bit words, stored value = code + 1, $0000 terminates.
        low 10 bits = glyph code, upper bits = attribute/palette.
        code $000-$0BF = text bank, $0C0-$1BF = kanji bank (font $0A8000),
        code >= $1C0 = other symbol banks, code >= $300 = control.

ROM      CPU        attr  text

141000  $A8:9000  0000,1C00  <1D6><1F4><1F3><1E9><1F7><1F4><1FA><1F8> <1CC><1E6><1EC><1EE><1E8><C30D>
141020  $A8:9020  0000,1C00  はじめから<C30D>
14102E  $A8:902E  0000,1C00  つづきから<C30D>
14103C  $A8:903C  0000,1C00  そのほか<C30D>
141048  $A8:9048  0000,1C00  なまえを入力して下さい。<C30D>
141064  $A8:9064  0000,1C00  データをうつす<C30D>
141076  $A8:9076  0000,1C00  データを消す<C30D>
141086  $A8:9086  0000,1C00  なまえを変える<C30D>
141098  $A8:9098  0000,1C00  は い<C30D>
1410A2  $A8:90A2  0000,1C00  いいえ<C30D>
1410AC  $A8:90AC  0000,1C00  どこに？<C30D>
1410B8  $A8:90B8  0000,1C00  らやまぱばはなだたざさがかあ<C30D>り みぴびひにぢちじしぎきい<C30D>るゆむぷぶふぬづつずすぐくう<C30D>れ めぺべへねでてぜせげけえ<C30D>ろよもぽぼほのどとぞそごこお<C30D><C30D>01234っゅぉぅぁんわヴ<206><C30D>56789・ょゃぇぃーを<207><205><C30D>
14118E  $A8:918E  0000,1C00  ラヤマパバハナダタザサガカア<C30D>リ ミピビヒニヂチジシギキイ<C30D>ルユムプブフヌヅツズスグクウ<C30D>レ メペベヘネデテゼセゲケエ<C30D>ロヨモポボホノドトゾソゴコオ<C30D><C30D>01234ッュォゥァンワヴ<206><C30D>56789・ョャェィーヲ<207><205><C30D>
141264  $A8:9264  0000,1C00  いいですか？<C30D>
141274  $A8:9274  0000,FC00  <C30D><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE><C3FE>
