Wondrous Magic - battle name table

font   ROM $152000  LZSS, unpacks $2000 to $7E:4000
       128 slots of 16x16 2bpp, four tiles each in TL TR BL BR order
       82 katakana in slots 1-82, slots 0 and 83-127 blank
table  ROM $153000  63 entries of 6 bytes, glyph indices, null padded
       decompressor for this path is the second copy at $02:D1D9

idx  address   glyph bytes            japanese

  0  $153000  42 32 14 00 00 00      バット
  1  $153006  43 4D 00 00 00 00      ビィ
  2  $15300C  08 02 52 2E 43 4D      クイーンビィ
  3  $153012  14 2C 2E 14 00 00      トレント
  4  $153018  27 52 43 52 0D 14      ワービースト
  5  $15301E  44 2C 02 41 00 00      ブレイド
  6  $153024  1A 52 1C 3C 2E 43      ハーフゾンビ
  7  $15302A  2A 38 52 3D 00 00      リザーダ
  8  $153030  49 29 2E 14 00 00      プラント
  9  $153036  49 11 41 29 37 2E      プチドラゴン
 10  $15303C  41 29 37 16 01 00      ドラゴニア
 11  $153042  1F 38 52 40 23 2E      マザーデモン
 12  $153048  03 4D 0D 49 00 00      ウィスプ
 13  $15304E  1A 52 48 4D 00 00      ハーピィ
 14  $153054  42 0C 2A 0D 08 00      バシリスク
 15  $15305A  14 2D 52 2B 00 00      トロール
 16  $153060  35 2A 1C 50 2E 00      グリフォン
 17  $153066  14 2B 18 52 41 00      トルネード
 18  $15306C  27 52 21 00 00 00      ワーム
 19  $153072  0A 06 14 2A 0D 00      コカトリス
 20  $153078  3D 0D 14 1F 2E 00      ダストマン
 21  $15307E  1C 2B 3C 2E 43 00      フルゾンビ
 22  $153084  0D 06 2A 05 32 14      スカリオット
 23  $15308A  0D 48 2A 32 14 00      スピリット
 24  $153090  51 4C 2E 47 02 01      ヴァンパイア
 25  $153096  1A 02 40 52 23 2E      ハイデーモン
 26  $15309C  37 52 0D 14 00 00      ゴースト
 27  $1530A2  1C 2C 0C 30 1F 2E      フレシュマン
 28  $1530A8  3D 52 08 1F 34 00      ダークマギ
 29  $1530AE  0D 09 2B 14 2E 00      スケルトン
 30  $1530B4  40 30 29 1A 2E 00      デュラハン
 31  $1530BA  29 20 01 00 00 00      ラミア
 32  $1530C0  0D 14 2E 37 2C 21      ストンゴレム
 33  $1530C6  07 2E 35 27 52 21      キングワーム
 34  $1530CC  3D 0D 14 37 2C 21      ダストゴレム
 35  $1530D2  40 43 2B 1F 34 00      デビルマギ
 36  $1530D8  41 32 49 29 52 00      ドップラー
 37  $1530DE  0B 02 08 2D 49 0D      サイクロプス
 38  $1530E4  04 43 2B 15 02 14      エビルナイト
 39  $1530EA  01 08 01 1F 0D 08      アクアマスク
 40  $1530F0  08 2A 01 0C 4F 2B      クリアシェル
 41  $1530F6  08 29 03 41 00 00      クラウド
 42  $1530FC  01 2B 29 03 18 00      アルラウネ
 43  $153102  42 2E 0C 4D 00 00      バンシィ
 44  $153108  07 22 29 00 00 00      キメラ
 45  $15310E  2D 52 47 52 00 00      ローパー
 46  $153114  1F 33 32 14 00 00      マガット
 47  $15311A  18 08 2D 1F 2E 0B      ネクロマンサ
 48  $153120  27 02 51 4C 52 2E      ワイヴァーン
 49  $153126  40 0D 00 00 00 00      デス
 50  $15312C  41 15 2B 41 00 00      ドナルド
 51  $153132  0D 14 52 06 52 00      ストーカー
 52  $153138  1C 2A 39 32 14 00      フリジット
 53  $15313E  41 29 37 3C 2E 43      ドラゴゾンビ
 54  $153144  0C 4F 2B 0D 0A 00      シェルスコ
 55  $15314A  0D 14 52 06 52 00      ストーカー
 56  $153150  08 29 52 09 2E 00      クラーケン
 57  $153156  02 2A 05 2E 00 00      イリオン
 58  $15315C  02 51 4C 0D 00 00      イヴァス
 59  $153162  2D 02 41 1C 50 2E      ロイドフォン
 60  $153168  0C 4F 2B 0D 0A 00      シェルスコ
 61  $15316E  08 29 52 09 2E 00      クラーケン
 62  $153174  2D 02 41 1C 50 2E      ロイドフォン
